@relation basefightstraining
@attribute fight_outcome {D,L,W}

@attribute fight_country {Japan,Philippines,Nicaragua,Thailand,Panama,Indonesia,Mexico,Argentina,'United Kingdom','South Africa',Brazil,France,Australia,USA,'Costa Rica',Ecuador,Colombia,Bolivia,Belgium,China,Canada,Tanzania,Spain,Chile,Russia,'Dominican Republic',Belarus,Italy,Kyrgyzstan,Kazakhstan,Venezuela,Namibia,Monaco,Laos,Georgia,Finland,Switzerland,Hungary,Germany,'Czech Republic','New Zealand',Croatia,'Puerto Rico',Singapore,Poland,Denmark,Macedonia,Ukraine,Ireland,Latvia,Slovakia,Austria,'Bosnia And Herzegovina',Slovenia,Azerbaijan,Honduras,Peru,Romania,'South Korea','United Arab Emirates',Haiti,Luxembourg,Estonia,Turkey,Netherlands,Greece,Martinique,Albania,'Trinidad And Tobago','French Polynesia',Sweden,Uruguay,Kenya,Kosovo,Serbia,Morocco,Ghana,Egypt,Uganda,Portugal,'Congo (Democratic Republic Of The)',Montenegro,Moldova,Lithuania,Algeria,Guyana,Fiji,Bulgaria,Aruba,Timor-Leste,Malta,'U.S. Virgin Islands','New Caledonia',Paraguay,Uzbekistan,Benin}

@attribute fight_scheduled {3,4,5,6,8,9,10,11,12}

@attribute fight_division {bantamweight,cruiserweight,featherweight,flyweight,heavyweight,'light flyweight','light heavyweight',lightweight,middleweight,minimumweight,'super bantamweight','super featherweight','super flyweight','super lightweight','super middleweight','super welterweight',welterweight}

@attribute boxer_localOvisitante {LOCAL,VISITANTE}
@attribute boxer_years_since_debut numeric

@attribute boxer_stance {orthodox,southpaw}
@attribute boxer_fights numeric

@attribute boxer_won numeric
@attribute Boxer_last_6_score numeric
@attribute boxer_last2 {'{w,l}','{d,l}','{l,w}','{l,l}','{w,w}','{w,d}','{d,w}','{d,d}','{l,d}'}
@attribute opponent_localOvisitante {LOCAL,VISITANTE}

@attribute opponent_years_since-debut numeric

@attribute opponent_stance {southpaw,orthodox}
@attribute opponent_fights numeric
@attribute opponent_won numeric

@attribute opponent_last6_score numeric

@attribute opponent_last2 {'{w,l}','{l,w}','{d,l}','{l,l}','{w,w}','{w,d}','{d,d}','{l,d}','{d,w}'}

@attribute boxer_age2 numeric
@attribute opponent_age2 numeric


@data

W,Australia,10,welterweight,LOCAL,2,orthodox,9,100,6,'{w,w}',VISITANTE,3,orthodox,12,92,6,'{w,w}',24,24
L,Russia,12,featherweight,VISITANTE,14,orthodox,58,55,-2,'{l,l}',LOCAL,10,orthodox,20,90,6,'{w,w}',29,32
W,Japan,8,lightweight,LOCAL,6,orthodox,22,45,1,'{l,w}',LOCAL,2,orthodox,8,88,4,'{w,l}',27,20
W,USA,10,'super lightweight',LOCAL,12,orthodox,38,92,6,'{w,w}',VISITANTE,7,orthodox,38,84,2,'{l,l}',33,24
W,Argentina,10,'super featherweight',LOCAL,11,orthodox,53,85,6,'{w,w}',LOCAL,5,orthodox,22,73,4,'{w,w}',30,29
W,'United Kingdom',12,flyweight,LOCAL,3,orthodox,9,100,6,'{w,w}',LOCAL,5,orthodox,16,81,6,'{w,w}',24,24
L,Germany,10,'super welterweight',VISITANTE,3,southpaw,28,79,4,'{w,w}',VISITANTE,1,orthodox,14,93,4,'{l,w}',27,29
L,'Puerto Rico',6,lightweight,LOCAL,3,orthodox,9,56,3,'{d,d}',LOCAL,2,orthodox,11,100,6,'{w,w}',26,26
L,Mexico,12,bantamweight,VISITANTE,4,southpaw,30,80,4,'{w,w}',LOCAL,3,orthodox,22,95,5,'{w,w}',24,18
L,Argentina,6,'super bantamweight',LOCAL,4,orthodox,27,26,-4,'{l,l}',LOCAL,1,orthodox,7,100,6,'{w,w}',27,21
L,Colombia,10,'super flyweight',VISITANTE,9,orthodox,12,67,2,'{l,l}',LOCAL,12,orthodox,35,91,4,'{w,w}',30,31
W,France,6,middleweight,LOCAL,8,southpaw,19,79,4,'{w,l}',VISITANTE,3,orthodox,17,18,-6,'{l,l}',34,28
W,USA,8,'light heavyweight',VISITANTE,2,southpaw,8,100,6,'{w,w}',VISITANTE,7,orthodox,26,81,2,'{w,l}',30,28
W,Japan,8,bantamweight,LOCAL,8,orthodox,18,56,-1,'{l,l}',LOCAL,4,orthodox,10,70,2,'{w,l}',30,26
L,USA,4,'super bantamweight',LOCAL,2,orthodox,6,100,6,'{w,w}',VISITANTE,2,orthodox,6,83,5,'{d,w}',26,20
L,Mexico,12,'super featherweight',LOCAL,10,orthodox,32,72,2,'{l,w}',LOCAL,11,orthodox,52,83,2,'{w,l}',27,27
